player_name,player_id,player,prof_link,img_link
Virat Kohli,164,virat-kohli,https://www.iplt20.com/players/virat-kohli/164,https://documents.iplt20.com/ipl/IPLHeadshot2026/2.png
Rajat Patidar,5471,rajat-patidar,https://www.iplt20.com/players/rajat-patidar/5471,https://documents.iplt20.com/ipl/IPLHeadshot2026/597.png
Devdutt Padikkal,5430,devdutt-padikkal,https://www.iplt20.com/players/devdutt-padikkal/5430,https://documents.iplt20.com/ipl/IPLHeadshot2026/200.png
Swapnil Singh,3180,swapnil-singh,https://www.iplt20.com/players/swapnil-singh/3180,https://documents.iplt20.com/ipl/IPLHeadshot2026/1483.png
Phil Salt,5606,phil-salt,https://www.iplt20.com/players/phil-salt/5606,https://documents.iplt20.com/ipl/IPLHeadshot2026/1220.png
Jitesh Sharma,3185,jitesh-sharma,https://www.iplt20.com/players/jitesh-sharma/3185,https://documents.iplt20.com/ipl/IPLHeadshot2026/1000.png
Josh Hazlewood,857,josh-hazlewood,https://www.iplt20.com/players/josh-hazlewood/857,https://documents.iplt20.com/ipl/IPLHeadshot2026/36.png
Rasikh Dar,20577,rasikh-dar,https://www.iplt20.com/players/rasikh-dar/20577,https://documents.iplt20.com/ipl/IPLHeadshot2026/172.png
Suyash Sharma,5668,suyash-sharma,https://www.iplt20.com/players/suyash-sharma/5668,https://documents.iplt20.com/ipl/IPLHeadshot2026/1932.png
Krunal Pandya,3183,krunal-pandya,https://www.iplt20.com/players/krunal-pandya/3183,https://documents.iplt20.com/ipl/IPLHeadshot2026/17.png
Bhuvneshwar Kumar,116,bhuvneshwar-kumar,https://www.iplt20.com/players/bhuvneshwar-kumar/116,https://documents.iplt20.com/ipl/IPLHeadshot2026/15.png
Tim David,4524,tim-david,https://www.iplt20.com/players/tim-david/4524,https://documents.iplt20.com/ipl/IPLHeadshot2026/636.png
Romario Shepherd,20609,romario-shepherd,https://www.iplt20.com/players/romario-shepherd/20609,https://documents.iplt20.com/ipl/IPLHeadshot2026/371.png
Abhinandan Singh,22136,abhinandan-singh,https://www.iplt20.com/players/abhinandan-singh/22136,https://documents.iplt20.com/ipl/IPLHeadshot2026/3574.png
Jacob Bethell,22074,jacob-bethell,https://www.iplt20.com/players/jacob-bethell/22074,https://documents.iplt20.com/ipl/IPLHeadshot2026/869.png
Venkatesh Iyer,8540,venkatesh-iyer,https://www.iplt20.com/players/venkatesh-iyer/8540,https://documents.iplt20.com/ipl/IPLHeadshot2026/584.png
Jacob Duffy,23003,jacob-duffy,https://www.iplt20.com/players/jacob-duffy/23003,https://documents.iplt20.com/ipl/IPLHeadshot2026/1701.png
Satvik Deswal,23036,satvik-deswal,https://www.iplt20.com/players/satvik-deswal/23036,https://documents.iplt20.com/ipl/IPLHeadshot2026/4555.png
Mangesh Yadav,23040,mangesh-yadav,https://www.iplt20.com/players/mangesh-yadav/23040,https://documents.iplt20.com/ipl/IPLHeadshot2026/4554.png
Jordan Cox,23023,jordan-cox,https://www.iplt20.com/players/jordan-cox/23023,https://documents.iplt20.com/ipl/IPLHeadshot2026/3372.png
Vicky Ostwal,20624,vicky-ostwal,https://www.iplt20.com/players/vicky-ostwal/20624,https://documents.iplt20.com/ipl/IPLHeadshot2026/786.png
Vihaan Malhotra,23150,vihaan-malhotra,https://www.iplt20.com/players/vihaan-malhotra/23150,https://documents.iplt20.com/ipl/IPLHeadshot2026/4012.png
Kanishk Chouhan,23168,kanishk-chouhan,https://www.iplt20.com/players/kanishk-chouhan/23168,https://documents.iplt20.com/ipl/IPLHeadshot2026/4016.png
Richard Gleeson,20730,richard-gleeson,https://www.iplt20.com/players/richard-gleeson/20730,https://documents.iplt20.com/ipl/assets/images/Default-Men.png
Yash Dayal,20591,yash-dayal,https://www.iplt20.com/players/yash-dayal/20591,https://documents.iplt20.com/ipl/IPLHeadshot2026/978.png
Ishan Kishan,2975,ishan-kishan,https://www.iplt20.com/players/ishan-kishan/2975,https://documents.iplt20.com/ipl/IPLHeadshot2026/164.png
Pat Cummins,488,pat-cummins,https://www.iplt20.com/players/pat-cummins/488,https://documents.iplt20.com/ipl/IPLHeadshot2026/33.png
Aniket Verma,22082,aniket-verma,https://www.iplt20.com/players/aniket-verma/22082,https://documents.iplt20.com/ipl/IPLHeadshot2026/3576.png
Liam Livingstone,3644,liam-livingstone,https://www.iplt20.com/players/liam-livingstone/3644,https://documents.iplt20.com/ipl/IPLHeadshot2026/183.png
Harshal Patel,157,harshal-patel,https://www.iplt20.com/players/harshal-patel/157,https://documents.iplt20.com/ipl/IPLHeadshot2026/114.png
Zeeshan Ansari,22007,zeeshan-ansari,https://www.iplt20.com/players/zeeshan-ansari/22007,https://documents.iplt20.com/ipl/IPLHeadshot2026/3575.png
Jaydev Unadkat,86,jaydev-unadkat,https://www.iplt20.com/players/jaydev-unadkat/86,https://documents.iplt20.com/ipl/IPLHeadshot2026/180.png
Kamindu Mendis,22077,kamindu-mendis,https://www.iplt20.com/players/kamindu-mendis/22077,https://documents.iplt20.com/ipl/IPLHeadshot2026/627.png
Eshan Malinga,22228,eshan-malinga,https://www.iplt20.com/players/eshan-malinga/22228,https://documents.iplt20.com/ipl/IPLHeadshot2026/3339.png
Smaran Ravichandran,22378,smaran-ravichandran,https://www.iplt20.com/players/smaran-ravichandran/22378,https://documents.iplt20.com/ipl/IPLHeadshot2026/3752.png
Harsh Dubey,22381,harsh-dubey,https://www.iplt20.com/players/harsh-dubey/22381,https://documents.iplt20.com/ipl/IPLHeadshot2026/1494.png
Shivang Kumar,23006,shivang-kumar,https://www.iplt20.com/players/shivang-kumar/23006,https://documents.iplt20.com/ipl/IPLHeadshot2026/4561.png
Salil Arora,23041,salil-arora,https://www.iplt20.com/players/salil-arora/23041,https://documents.iplt20.com/ipl/IPLHeadshot2026/4556.png
Sakib Hussain,20717,sakib-hussain,https://www.iplt20.com/players/sakib-hussain/20717,https://documents.iplt20.com/ipl/IPLHeadshot2026/3104.png
Onkar Tarmale,23048,onkar-tarmale,https://www.iplt20.com/players/onkar-tarmale/23048,https://documents.iplt20.com/ipl/IPLHeadshot2026/4560.png
Amit Kumar,23087,amit-kumar,https://www.iplt20.com/players/amit-kumar/23087,https://documents.iplt20.com/ipl/IPLHeadshot2026/4559.png
Praful Hinge,23114,praful-hinge,https://www.iplt20.com/players/praful-hinge/23114,https://documents.iplt20.com/ipl/IPLHeadshot2026/4558.png
Krains Fuletra,23132,krains-fuletra,https://www.iplt20.com/players/krains-fuletra/23132,https://documents.iplt20.com/ipl/IPLHeadshot2026/4557.png
Dilshan Madushanka,33337,dilshan-madushanka,https://www.iplt20.com/players/dilshan-madushanka/33337,https://documents.iplt20.com/ipl/IPLHeadshot2026/1018.png
Gerald Coetzee,20686,gerald-coetzee,https://www.iplt20.com/players/gerald-coetzee/20686,https://documents.iplt20.com/ipl/IPLHeadshot2026/2535.png
RS Ambrish,33341,rs-ambrish,https://www.iplt20.com/players/rs-ambrish/33341,https://documents.iplt20.com/ipl/assets/images/Default-Men.png
Abhishek Sharma,3760,abhishek-sharma,https://www.iplt20.com/players/abhishek-sharma/3760,https://documents.iplt20.com/ipl/IPLHeadshot2026/212.png
Heinrich Klaasen,3869,heinrich-klaasen,https://www.iplt20.com/players/heinrich-klaasen/3869,https://documents.iplt20.com/ipl/IPLHeadshot2026/202.png
Nitish Kumar Reddy,5711,nitish-kumar-reddy,https://www.iplt20.com/players/nitish-kumar-reddy/5711,https://documents.iplt20.com/ipl/IPLHeadshot2026/1944.png
Travis Head,1020,travis-head,https://www.iplt20.com/players/travis-head/1020,https://documents.iplt20.com/ipl/IPLHeadshot2026/37.png
Rishabh Pant ,2972,rishabh-pant-(primary),https://www.iplt20.com/players/rishabh-pant-(primary)/2972,https://documents.iplt20.com/ipl/IPLHeadshot2026/18.png
Mohammad Shami,94,mohammad-shami,https://www.iplt20.com/players/mohammad-shami/94,https://documents.iplt20.com/ipl/IPLHeadshot2026/47.png
Aiden Markram,1667,aiden-markram,https://www.iplt20.com/players/aiden-markram/1667,https://documents.iplt20.com/ipl/IPLHeadshot2026/287.png
Mitchell Marsh,221,mitchell-marsh,https://www.iplt20.com/players/mitchell-marsh/221,https://documents.iplt20.com/ipl/IPLHeadshot2026/40.png
Avesh Khan,1561,avesh-khan,https://www.iplt20.com/players/avesh-khan/1561,https://documents.iplt20.com/ipl/IPLHeadshot2026/109.png
Abdul Samad,19352,abdul-samad,https://www.iplt20.com/players/abdul-samad/19352,https://documents.iplt20.com/ipl/IPLHeadshot2026/525.png
Himmat Singh,5434,himmat-singh,https://www.iplt20.com/players/himmat-singh/5434,https://documents.iplt20.com/ipl/IPLHeadshot2026/203.png
M. Siddharth,7119,m.-siddharth,https://www.iplt20.com/players/m.-siddharth/7119,https://documents.iplt20.com/ipl/IPLHeadshot2026/532.png
Digvesh Singh,5847,digvesh-singh,https://www.iplt20.com/players/digvesh-singh/5847,https://documents.iplt20.com/ipl/IPLHeadshot2026/3565.png
Shahbaz Ahamad,13803,shahbaz-ahamad,https://www.iplt20.com/players/shahbaz-ahamad/13803,https://documents.iplt20.com/ipl/IPLHeadshot2026/523.png
Akash Singh,12585,akash-singh,https://www.iplt20.com/players/akash-singh/12585,https://documents.iplt20.com/ipl/IPLHeadshot2026/535.png
Prince Yadav,22097,prince-yadav,https://www.iplt20.com/players/prince-yadav/22097,https://documents.iplt20.com/ipl/IPLHeadshot2026/1225.png
Arshin Kulkarni,20691,arshin-kulkarni,https://www.iplt20.com/players/arshin-kulkarni/20691,https://documents.iplt20.com/ipl/IPLHeadshot2026/2788.png
Matthew Breetzke,22375,matthew-breetzke,https://www.iplt20.com/players/matthew-breetzke/22375,https://documents.iplt20.com/ipl/IPLHeadshot2026/2805.png
Arjun Tendulkar,10244,arjun-tendulkar,https://www.iplt20.com/players/arjun-tendulkar/10244,https://documents.iplt20.com/ipl/IPLHeadshot2026/585.png
Anrich Nortje,5433,anrich-nortje,https://www.iplt20.com/players/anrich-nortje/5433,https://documents.iplt20.com/ipl/IPLHeadshot2026/142.png
Mukul Choudhary,23010,mukul-choudhary,https://www.iplt20.com/players/mukul-choudhary/23010,https://documents.iplt20.com/ipl/IPLHeadshot2026/4549.png
Akshat Raghuwanshi,23035,akshat-raghuwanshi,https://www.iplt20.com/players/akshat-raghuwanshi/23035,https://documents.iplt20.com/ipl/IPLHeadshot2026/1487.png
Josh Inglis,22372,josh-inglis,https://www.iplt20.com/players/josh-inglis/22372,https://documents.iplt20.com/ipl/IPLHeadshot2026/647.png
George Linde,33336,george-linde,https://www.iplt20.com/players/george-linde/33336,https://documents.iplt20.com/ipl/IPLHeadshot2026/340.png
Ayush Badoni,20586,ayush-badoni,https://www.iplt20.com/players/ayush-badoni/20586,https://documents.iplt20.com/ipl/IPLHeadshot2026/985.png
Mayank Yadav,20585,mayank-yadav,https://www.iplt20.com/players/mayank-yadav/20585,https://documents.iplt20.com/ipl/IPLHeadshot2026/987.png
Naman Tiwari,23015,naman-tiwari,https://www.iplt20.com/players/naman-tiwari/23015,https://documents.iplt20.com/ipl/IPLHeadshot2026/2801.png
Mohsin Khan,4952,mohsin-khan,https://www.iplt20.com/players/mohsin-khan/4952,https://documents.iplt20.com/ipl/IPLHeadshot2026/541.png
Nicholas Pooran,1703,nicholas-pooran,https://www.iplt20.com/players/nicholas-pooran/1703,https://documents.iplt20.com/ipl/IPLHeadshot2026/136.png
Rohit Sharma,107,rohit-sharma,https://www.iplt20.com/players/rohit-sharma/107,https://documents.iplt20.com/ipl/IPLHeadshot2026/6.png
Robin Minz,20707,robin-minz,https://www.iplt20.com/players/robin-minz/20707,https://documents.iplt20.com/ipl/IPLHeadshot2026/3103.png
Sherfane Rutherford,5396,sherfane-rutherford,https://www.iplt20.com/players/sherfane-rutherford/5396,https://documents.iplt20.com/ipl/IPLHeadshot2026/122.png
Ryan Rickelton,22003,ryan-rickelton,https://www.iplt20.com/players/ryan-rickelton/22003,https://documents.iplt20.com/ipl/IPLHeadshot2026/743.png
Quinton de Kock,834,quinton-de-kock,https://www.iplt20.com/players/quinton-de-kock/834,https://documents.iplt20.com/ipl/IPLHeadshot2026/170.png
Danish Malewar,23031,danish-malewar,https://www.iplt20.com/players/danish-malewar/23031,https://documents.iplt20.com/ipl/IPLHeadshot2026/4546.png
Ruchit Ahir,33344,ruchit-ahir,https://www.iplt20.com/players/ruchit-ahir/33344,https://documents.iplt20.com/ipl/assets/images/Default-Men.png
N. Tilak Varma,20594,n.-tilak-varma,https://www.iplt20.com/players/n.-tilak-varma/20594,https://documents.iplt20.com/ipl/IPLHeadshot2026/993.png
Naman Dhir,20701,naman-dhir,https://www.iplt20.com/players/naman-dhir/20701,https://documents.iplt20.com/ipl/IPLHeadshot2026/3107.png
Raj Angad Bawa,20601,raj-angad-bawa,https://www.iplt20.com/players/raj-angad-bawa/20601,https://documents.iplt20.com/ipl/IPLHeadshot2026/781.png
Mayank Rawat,23038,mayank-rawat,https://www.iplt20.com/players/mayank-rawat/23038,https://documents.iplt20.com/ipl/IPLHeadshot2026/1228.png
Krish Bhagat,33338,krish-bhagat,https://www.iplt20.com/players/krish-bhagat/33338,https://documents.iplt20.com/ipl/IPLHeadshot2026/5034.png
Mahipal Lomror,2970,mahipal-lomror,https://www.iplt20.com/players/mahipal-lomror/2970,https://documents.iplt20.com/ipl/assets/images/Default-Men.png
Corbin Bosch,20680,corbin-bosch,https://www.iplt20.com/players/corbin-bosch/20680,https://documents.iplt20.com/ipl/IPLHeadshot2026/1041.png
Will Jacks,5629,will-jacks,https://www.iplt20.com/players/will-jacks/5629,https://documents.iplt20.com/ipl/IPLHeadshot2026/1941.png
Shardul Thakur,1745,shardul-thakur,https://www.iplt20.com/players/shardul-thakur/1745,https://documents.iplt20.com/ipl/IPLHeadshot2026/105.png
Trent Boult,969,trent-boult,https://www.iplt20.com/players/trent-boult/969,https://documents.iplt20.com/ipl/IPLHeadshot2026/66.png
Deepak Chahar,140,deepak-chahar,https://www.iplt20.com/players/deepak-chahar/140,https://documents.iplt20.com/ipl/IPLHeadshot2026/91.png
Ashwani Kumar,22030,ashwani-kumar,https://www.iplt20.com/players/ashwani-kumar/22030,https://documents.iplt20.com/ipl/IPLHeadshot2026/3569.png
Raghu Sharma,22379,raghu-sharma,https://www.iplt20.com/players/raghu-sharma/22379,https://documents.iplt20.com/ipl/IPLHeadshot2026/3869.png
Mohammad Izhar,23045,mohammad-izhar,https://www.iplt20.com/players/mohammad-izhar/23045,https://documents.iplt20.com/ipl/IPLHeadshot2026/4545.png
Keshav Maharaj,20726,keshav-maharaj,https://www.iplt20.com/players/keshav-maharaj/20726,https://documents.iplt20.com/ipl/IPLHeadshot2026/347.png
Allah Ghazanfar,20725,allah-ghazanfar,https://www.iplt20.com/players/allah-ghazanfar/20725,https://documents.iplt20.com/ipl/IPLHeadshot2026/2761.png
Surya Kumar Yadav,108,surya-kumar-yadav,https://www.iplt20.com/players/surya-kumar-yadav/108,https://documents.iplt20.com/ipl/IPLHeadshot2026/174.png
Hardik Pandya,2740,hardik-pandya,https://www.iplt20.com/players/hardik-pandya/2740,https://documents.iplt20.com/ipl/IPLHeadshot2026/54.png
Mayank Markande,4951,mayank-markande,https://www.iplt20.com/players/mayank-markande/4951,https://documents.iplt20.com/ipl/IPLHeadshot2026/87.png
Jasprit Bumrah,1124,jasprit-bumrah,https://www.iplt20.com/players/jasprit-bumrah/1124,https://documents.iplt20.com/ipl/IPLHeadshot2026/9.png
SHREYAS IYER,1563,shreyas-iyer,https://www.iplt20.com/players/shreyas-iyer/1563,https://documents.iplt20.com/ipl/IPLHeadshot2026/12.png
NEHAL WADHERA,5859,nehal-wadhera,https://www.iplt20.com/players/nehal-wadhera/5859,https://documents.iplt20.com/ipl/IPLHeadshot2026/1541.png
VISHNU VINOD,4305,vishnu-vinod,https://www.iplt20.com/players/vishnu-vinod/4305,https://documents.iplt20.com/ipl/IPLHeadshot2026/581.png
HARNOOR PANNU,22019,harnoor-pannu,https://www.iplt20.com/players/harnoor-pannu/22019,https://documents.iplt20.com/ipl/IPLHeadshot2026/784.png
PYLA AVINASH,22145,pyla-avinash,https://www.iplt20.com/players/pyla-avinash/22145,https://documents.iplt20.com/ipl/IPLHeadshot2026/3573.png
PRABHSIMRAN SINGH,5436,prabhsimran-singh,https://www.iplt20.com/players/prabhsimran-singh/5436,https://documents.iplt20.com/ipl/IPLHeadshot2026/137.png
SHASHANK SINGH,3261,shashank-singh,https://www.iplt20.com/players/shashank-singh/3261,https://documents.iplt20.com/ipl/IPLHeadshot2026/191.png
MARCUS STOINIS,964,marcus-stoinis,https://www.iplt20.com/players/marcus-stoinis/964,https://documents.iplt20.com/ipl/IPLHeadshot2026/23.png
HARPREET BRAR,5441,harpreet-brar,https://www.iplt20.com/players/harpreet-brar/5441,https://documents.iplt20.com/ipl/IPLHeadshot2026/130.png
MARCO JANSEN,17068,marco-jansen,https://www.iplt20.com/players/marco-jansen/17068,https://documents.iplt20.com/ipl/IPLHeadshot2026/586.png
AZMATULLAH OMARZAI,20685,azmatullah-omarzai,https://www.iplt20.com/players/azmatullah-omarzai/20685,https://documents.iplt20.com/ipl/IPLHeadshot2026/1354.png
PRIYANSH ARYA,22052,priyansh-arya,https://www.iplt20.com/players/priyansh-arya/22052,https://documents.iplt20.com/ipl/IPLHeadshot2026/3571.png
MUSHEER KHAN,22085,musheer-khan,https://www.iplt20.com/players/musheer-khan/22085,https://documents.iplt20.com/ipl/IPLHeadshot2026/2813.png
SURYANSH SHEDGE,20683,suryansh-shedge,https://www.iplt20.com/players/suryansh-shedge/20683,https://documents.iplt20.com/ipl/IPLHeadshot2026/2146.png
MITCH OWEN,22380,mitch-owen,https://www.iplt20.com/players/mitch-owen/22380,https://documents.iplt20.com/ipl/IPLHeadshot2026/3870.png
COOPER CONNOLLY,23052,cooper-connolly,https://www.iplt20.com/players/cooper-connolly/23052,https://documents.iplt20.com/ipl/IPLHeadshot2026/848.png
BEN DWARSHUIS,1478,ben-dwarshuis,https://www.iplt20.com/players/ben-dwarshuis/1478,https://documents.iplt20.com/ipl/IPLHeadshot2026/632.png
ARSHDEEP SINGH,4698,arshdeep-singh,https://www.iplt20.com/players/arshdeep-singh/4698,https://documents.iplt20.com/ipl/IPLHeadshot2026/125.png
YUZVENDRA CHAHAL,111,yuzvendra-chahal,https://www.iplt20.com/players/yuzvendra-chahal/111,https://documents.iplt20.com/ipl/IPLHeadshot2026/10.png
VYSHAK VIJAYKUMAR,1097,vyshak-vijaykumar,https://www.iplt20.com/players/vyshak-vijaykumar/1097,https://documents.iplt20.com/ipl/IPLHeadshot2026/2034.png
YASH THAKUR,5624,yash-thakur,https://www.iplt20.com/players/yash-thakur/5624,https://documents.iplt20.com/ipl/IPLHeadshot2026/1550.png
XAVIER BARTLETT,22112,xavier-bartlett,https://www.iplt20.com/players/xavier-bartlett/22112,https://documents.iplt20.com/ipl/IPLHeadshot2026/3572.png
PRAVIN DUBEY,3188,pravin-dubey,https://www.iplt20.com/players/pravin-dubey/3188,https://documents.iplt20.com/ipl/IPLHeadshot2026/548.png
